Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,,ELEVATION (M),CUMALTIVE ELEVATION (M), Travel to Block
Blue,A,1,50,0,50,,,0.00,0.00,2
Blue,A,2,50,0,50,,,0.00,0.00,3;1
Blue,A,3,50,0,50,,,0.00,0.00,4;2
Blue,A,4,50,0,50,,,0.00,0.00,5;3
Blue,A,5,50,0,50,SWITCH (5-6,5-11),,0.00,0.00,4;*6;*11
Blue,B,6,50,0,50,,,0.00,0.00,*5;7
Blue,B,7,50,0,50,,,0.00,0.00,6;8
Blue,B,8,50,0,50,,,0.00,0.00,7;9
Blue,B,9,50,0,50,,,0.00,0.00,8;10
Blue,B,10,50,0,50,Station: B,,0.00,0.00,9
Blue,C,11,50,0,50,,,0.00,0.00,*5;12
Blue,C,12,50,0,50,,,0.00,0.00,11;13
Blue,C,13,50,0,50,,,0.00,0.00,12;14
Blue,C,14,50,0,50,,,0.00,0.00,13;15
Blue,C,15,50,0,50,Station: C,,0.00,0.00,14
