Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Infrastructure,,ELEVATION (M),CUMALTIVE ELEVATION (M),"Can Travel to ",station side
Red,A,1,50,0.5,40,,,0.25,0.25,*16;2,,
Red,A,2,50,1,40,,,0.50,0.75,1;3,,
Red,A,3,50,1.5,40,,,0.75,1.50,2;4,,
Red,B,4,50,2,40,,,1.00,2.50,3;5,,
Red,B,5,50,1.5,40,,,0.75,3.25,4;6,,
Red,B,6,50,1,40,,,0.50,3.75,5;7,,
Red,C,7,75,0.5,40,STATION: SHADYSIDE,,0.38,4.13,6;8,BL,
Red,C,8,75,0,40,,,0.00,4.13,7;9,,
Red,C,9,75,0,40,"SWITCH TO/FROM YARD (9-yard, 9-10)",,0.00,4.13,8;*yard;*10,,
Red,D,10,75,0,40,,,0.00,4.13,9;11,,
Red,D,11,75,-0.5,40,,,-0.38,3.75,10;12,,
Red,D,12,75,-1,40,,,-0.75,3.00,11;13,,
Red,E,13,70,-2,40,,,-1.40,1.60,12;14,,
Red,E,14,60,-1.25,40,,,-0.75,0.85,13;15,,
Red,E,15,60,-1,40,,,-0.60,0.25,14;16,,
Red,F,16,50,-0.5,40,"STATION: HERRON AVE; SWITCH (15-16,1-16)",,-0.25,0.00,17;*1;*15,BR,
Red,F,17,200,-0.5,55,,,-1.00,-1.00,16;18,,
Red,F,18,400,-0.06025,70,,,-0.24,-1.24,17;19,,
Red,F,19,400,0,70,,,0.00,-1.24,18;20,,
Red,F,20,200,0,70,,,0.00,-1.24,19;21,,
Red,G,21,100,0,55,STATION: SWISSVILLE,,0.00,-1.24,20;22,BR,
Red,G,22,100,0,55,,,0.00,-1.24,21;23,,
Red,G,23,100,0,55,,,0.00,-1.24,22;24,,
Red,H,24,50,0,70,UNDERGROUND,,0.00,-1.24,23;25,,
Red,H,25,50,0,70,STATION: PENN STATION: UNDERGROUND,,0.00,-1.24,24;26,BL,
Red,H,26,50,0,70,UNDERGROUND,,0.00,-1.24,25;27,,
Red,H,27,50,0,70,"SWITCH (27-28,27-76); UNDERGROUND",,0.00,-1.24,26;*28;*76,,
Red,H,28,50,0,70,UNDERGROUND,,0.00,-1.24,*27;29,,
Red,H,29,60,0,70,UNDERGROUND,,0.00,-1.24,28;30,,
Red,H,30,60,0,70,UNDERGROUND,,0.00,-1.24,29;31,,
Red,H,31,50,0,70,UNDERGROUND,,0.00,-1.24,30;32,,
Red,H,32,50,0,70,UNDERGROUND,,0.00,-1.24,31;*33,,
Red,H,33,50,0,70,"SWITCH (32-33,33-72); UNDERGROUND",,0.00,-1.24,*32;*72;34,,
Red,H,34,50,0,70,UNDERGROUND,,0.00,-1.24,33;35,,
Red,H,35,50,0,70,"STATION: STEEL PLAZA, UNDERGROUND",,0.00,-1.24,34;36,BL,
Red,H,36,50,0,70,UNDERGROUND,,0.00,-1.24,35;37,,
Red,H,37,50,0,70,UNDERGROUND,,0.00,-1.24,36;38,,
Red,H,38,50,0,70,"SWITCH (38-39, 38-71); UNDERGROUND",,0.00,-1.24,37;*39;*71,,
Red,H,39,50,0,70,UNDERGROUND,,0.00,-1.24,*38;40,,
Red,H,40,60,0,70,UNDERGROUND,,0.00,-1.24,39;41,,
Red,H,41,60,0,70,UNDERGROUND,,0.00,-1.24,40;42,,
Red,H,42,50,0,70,UNDERGROUND,,0.00,-1.24,41;43,,
Red,H,43,50,0,70,UNDERGROUND,,0.00,-1.24,42;*44,,
Red,H,44,50,0,70,"SWITCH (43-44, 44-67); UNDERGROUND",,0.00,-1.24,*43;*67;45,,
Red,H,45,50,0,70,STATION: FIRST AVE; UNDERGROUND,,0.00,-1.24,44;46,BL,
Red,I,46,75,0,70,UNDERGROUND,,0.00,-1.24,45;47,,
Red,I,47,75,0,70,RAILWAY CROSSING,,0.00,-1.24,46;48,,
Red,I,48,75,0,70,STATION: STATION SQUARE,,0.00,-1.24,47;49,BL,
Red,J,49,50,0,60,,,0.00,-1.24,48;50,,
Red,J,50,50,0,60,,,0.00,-1.24,49;51,,
Red,J,51,50,0,55,,,0.00,-1.24,50;52,,
Red,J,52,43.2,0,55,"SWITCH (52-53, 52-66)",,0.00,-1.24,51;*53;*66,,
Red,J,53,50,0,55,,,0.00,-1.24,*52;54,,
Red,J,54,50,0,55,,,0.00,-1.24,53;55,,
Red,K,55,75,0.5,55,,,0.38,-0.87,54;56,,
Red,K,56,75,0.5,55,,,0.38,-0.49,55;57,,
Red,K,57,75,0.5,55,,,0.38,-0.12,56;58,,
Red,L,58,75,1,55,,,0.75,0.63,57;59,,
Red,L,59,75,0.5,55,,,0.38,1.01,58;60,,
Red,L,60,75,0,55,STATION: SOUTH HILLS JUNCTION,,0.00,1.01,59;61,BL,
Red,M,61,75,-0.5,55,,,-0.38,0.63,60;62,,
Red,M,62,75,-1,55,,,-0.75,-0.12,61;63,,
Red,M,63,75,-1,55,,,-0.75,-0.87,62;64,,
